	Tracks anom	wv anom
1980:00:00	-0.6	0.98
1980:00:00	0.8	-8.27
1980:00:00	0.5	-1.79
1980:00:00	-0.7	-1.31
1980:00:00	-0.9	-1.89
1980:00:00	-0.4	-4.85
1980:00:00	-1.7	-3.38
1980:00:00	1.6	1.02
1980:00:00	0.6	1.4
1980:00:00	-2	-3.77
1981:00:00	4.2	-1.88
1981:00:00	-0.7	2.89
1981:00:00	-0.6	2.35
1981:00:00	0.8	5.66
1981:00:00	-1.5	-4.15
1981:00:00	-1.7	2.75
1981:00:00	0.1	-2.17
1981:00:00	-0.4	1.1
1981:00:00	0.3	-0.83
1981:00:00	0.6	-1.76
1981:00:00	1.6	1.61
1981:00:00	0	0.14
1982:00:00	-2.8	2.81
1982:00:00	2.3	0.43
1982:00:00	-1.6	-4.27
1982:00:00	-1.2	1.61
1982:00:00	-1.5	0.46
1982:00:00	3.3	-0.79
1982:00:00	2.1	-1.45
1982:00:00	-1.4	-2.54
1982:00:00	1.3	-2.42
1982:00:00	-1.4	-3.55
1982:00:00	1.6	0.33
1982:00:00	1	3.74
1983:00:00	0.2	-10.7
1983:00:00	2.3	-6.44
1983:00:00	-0.6	-1.23
1983:00:00	-2.2	-5.93
1983:00:00	0.5	-6.64
1983:00:00	-0.7	-3.9
1983:00:00	1.1	-3.03
1983:00:00	0.6	-4.58
1983:00:00	-0.7	-1.09
1983:00:00	0.6	1.46
1983:00:00	-1.4	-2.04
1983:00:00	1	1.54
1984:00:00	0.2	3.38
1984:00:00	-0.7	3.34
1984:00:00	-2.6	-0.42
1984:00:00	-1.2	8
1984:00:00	0.5	1.89
1984:00:00	1.3	-0.71
1984:00:00	1.1	-0.34
1984:00:00	-1.4	-0.38
1984:00:00	1.3	2.6
1984:00:00	-1.4	1.44
1984:00:00	1.6	0.54
1984:00:00	-1	-0.3
1985:00:00	2.2	1.02
1985:00:00	0.3	-4.45
1985:00:00	0.4	-3.26
1985:00:00	-0.2	-1.83
1985:00:00	-1.5	5.58
1985:00:00	-0.7	-2.82
1985:00:00	0.1	1.99
1985:00:00	0.6	1.14
1985:00:00	2.3	-0.62
1985:00:00	2.6	-0.46
1985:00:00	-0.4	2.34
1985:00:00	0	4.16
1986:00:00	-1.8	5.01
1986:00:00	0.3	1.39
1986:00:00	-1.6	4.31
1986:00:00	-0.2	-2.84
1986:00:00	1.5	1.91
1986:00:00	1.3	-0.04
1986:00:00	-2.9	2.6
