	Tracks anom	wv anom
1980:00:00	-0.6	-0.2
1980:00:00	0.8	-2.1
1980:00:00	0.5	-0.6
1980:00:00	-0.7	-0.8
1980:00:00	-0.9	0.1
1980:00:00	-0.4	1.2
1980:00:00	-1.7	0.2
1980:00:00	1.6	0.9
1980:00:00	0.6	0
1980:00:00	-2	-1.9
1981:00:00	4.2	-1
1981:00:00	-0.7	-0.4
1981:00:00	-0.6	0.2
1981:00:00	0.8	0.2
1981:00:00	-1.5	-2
1981:00:00	-1.7	-0.1
1981:00:00	0.1	-4.5
1981:00:00	-0.4	0.5
1981:00:00	0.3	-1.2
1981:00:00	0.6	-0.9
1981:00:00	1.6	0.5
1981:00:00	0	0.1
1982:00:00	-2.8	-0.2
1982:00:00	2.3	-0.6
1982:00:00	-1.6	-0.5
1982:00:00	-1.2	-0.3
1982:00:00	-1.5	0.2
1982:00:00	3.3	0.4
1982:00:00	2.1	1.2
1982:00:00	-1.4	2.1
1982:00:00	1.3	0.9
1982:00:00	-1.4	-2.4
1982:00:00	1.6	-0.2
1982:00:00	1	0
1983:00:00	0.2	0.8
1983:00:00	2.3	1.4
1983:00:00	-0.6	2.6
1983:00:00	-2.2	0.7
1983:00:00	0.5	0.8
1983:00:00	-0.7	-0.1
1983:00:00	1.1	1.7
1983:00:00	0.6	1.9
1983:00:00	-0.7	-0.6
1983:00:00	0.6	0.1
1983:00:00	-1.4	-1.4
1983:00:00	1	-2
1984:00:00	0.2	-3.2
1984:00:00	-0.7	-2
1984:00:00	-2.6	-1
1984:00:00	-1.2	0.1
1984:00:00	0.5	-0.7
1984:00:00	1.3	-1.4
1984:00:00	1.1	0.1
1984:00:00	-1.4	0.2
1984:00:00	1.3	0
1984:00:00	-1.4	0.3
1984:00:00	1.6	-1.7
1984:00:00	-1	-1.5
1985:00:00	2.2	-0.9
1985:00:00	0.3	-3.1
1985:00:00	0.4	-0.6
1985:00:00	-0.2	-1
1985:00:00	-1.5	0.5
1985:00:00	-0.7	-2.3
1985:00:00	0.1	0.9
1985:00:00	0.6	0.4
1985:00:00	2.3	-0.8
1985:00:00	2.6	-0.1
1985:00:00	-0.4	-1.4
1985:00:00	0	-0.2
1986:00:00	-1.8	-0.5
1986:00:00	0.3	-2.2
1986:00:00	-1.6	-1.6
1986:00:00	-0.2	-0.4
1986:00:00	1.5	0.5
1986:00:00	1.3	-1.8
1986:00:00	-2.9	1.8
1986:00:00	-2.4	2.3
1986:00:00	0.3	1.9
1986:00:00	0.6	-0.1
1986:00:00	3.6	-0.7
1986:00:00	-3	-0.8
1987:00:00	1.2	0.4
1987:00:00	2.3	0.8
1987:00:00	-0.6	-1
1987:00:00	0.8	1.3
1987:00:00	-1.5	-0.8
1987:00:00	-3.7	3.4
1987:00:00	2.1	1.9
1987:00:00	2.6	2.5
1987:00:00	-1.7	2
1987:00:00	1.6	1.3
1987:00:00	-0.4	2.3
1987:00:00	1	2.1
1988:00:00	0.2	1.7
1988:00:00	-1.7	2.3
1988:00:00	0.4	0.3
1988:00:00	-1.2	2
1988:00:00	-1.5	2.7
1988:00:00	-0.7	0
1988:00:00	-1.9	-2.2
1988:00:00	-0.4	-4
1988:00:00	1.3	-0.1
1988:00:00	-0.4	0.4
1988:00:00	1.6	0.8
1988:00:00	2	-0.7
1989:00:00	-0.8	-1.1
1989:00:00	-0.7	-1.3
1989:00:00	1.4	-2
1989:00:00	0.8	0
1989:00:00	-0.5	-0.2
1989:00:00	-0.7	2.7
1989:00:00	1.1	0.3
1989:00:00	1.6	2.3
1989:00:00	-1.7	-1.8
1989:00:00	-2.4	0.9
1989:00:00	0.6	-1.1
1989:00:00	-1	-0.4
1990:00:00	0.2	0
1990:00:00	-1.7	0
1990:00:00	0.4	-0.8
1990:00:00	2.8	0.1
1990:00:00	-1.5	-0.1
1990:00:00	-1.7	3.3
1990:00:00	2.1	2.2
1990:00:00	-0.4	1.8
1990:00:00	-0.7	-0.7
1990:00:00	-0.4	0
1990:00:00	0.6	-0.3
1990:00:00	0	0
1991:00:00	0.2	0.9
1991:00:00	-0.7	0.3
1991:00:00	-0.6	1.3
1991:00:00	1.8	-0.2
1991:00:00	0.5	2
